WellID,SampleDate,TotalAntimony_ug_L,TotalAntimony_qualifier,DissolvedAntimony_ug_L,DissolvedAntimony_qualifier,TotalArsenic_ug_L,TotalArsenic_qualifier,DissolvedArsenic_ug_L,DissolvedArsenic_ug_L,TotalMercury_ng_L,TotalMercury_qualifier,DissolvedMercury_ng_L,DissolvedMercury_qualifier,Sulfate_mg_L,Sulfate_qualifier
MW01,10-Sep,1.8,,1.4,,10.6,,9,,16.7,,8.5,,38.9,
MW01,11-Aug,1.9,,1.64,,3.3,,3,,25.4,,6.19,,21.3,
MW01,12-May,5.46,,1.6,,39,,2,U,271,,5,,12.4,
MW01,15-Jun,11,,,,130,,,,532,,4.52,,,U
MW01,15-Sep,,U,,,,U,,,,U,53.8,,,U
MW01,16-Sep,2.3,,,,17,,,,93.2,,6.47,,13,
MW01,17-May,2.1,,,,14,,,,6.06,,2.34,,14,
MW01,17-Sep,1.7,J,,,1.8,J,,,65.8,,2.38,,14,
MW01,18-May,1.1,,,,2,,,,9.97,,1.37,,16,
MW01,19-May,1.1,J,,,2.7,J,,,7.79,,4.19,,14,
MW01,19-Sep,3.1,,,,14,,,,101,,12.7,,12,
MW03,10-Sep,748,,724,,57.8,,55.8,,16.5,,6.47,,35.4,
MW03,11-Aug,917,,861,,58.9,,56,,47.7,,9.09,,53.5,
MW04,10-Sep,29.1,,30,,8.8,,8.8,,150,,149,,180,
MW04,11-Aug,27.9,,27.2,,8,,7.8,,155,,83.8,,183,
MW04,12-May,51.3,,32.1,,12,,7,,211,,57,,514,
MW04,12-Sep,32.7,,,,10,,,,197,J,50,J,424,J
MW06,10-Sep,5.4,,5.2,,28.1,,26.3,,1.85,,,U,29,
MW06,11-Aug,5.51,,5.3,,25.8,,24.8,,7.25,,0.9,J,25.5,
MW06,12-May,9.87,,,,53,,,,16,,7,,20.1,
MW06,12-Sep,6.19,,,,34,,,,,UJ,,UJ,25,
MW06,15-Jun,6.1,,,,34,,,,4,,0.51,,20,
MW06,15-Sep,7.3,,,,48,,,,12.9,,0.19,,20,
MW06,16-Oct,7.6,,,,46,,,,24.8,,0.3,J,34,
MW06,17-May,6.4,,,,39,,,,23.7,,7.53,,23,
MW06,17-Sep,7.6,,,,42,,,,45.7,,0.72,J,27,
MW06,18-May,6.6,,,,40,,,,2.65,,1.62,,33,
MW06,19-May,0.55,,,,1,,,,5.36,,0.65,,33,
MW06,19-Sep,12,,,,58,,,,15.8,,3.71,,46,
MW07,10-Sep,,,4.9,,,,0.4,,0,,12.1,,3.5,
MW08,11-Aug,1.59,,1.58,,0.6,,0.5,J,21.5,,1,,4.41,
MW08,12-May,0.68,,,,,U,,,9,,3,,3.3,
MW08,15-Jun,0.24,J,,,0.27,J,,,2.35,,1.48,,4.2,
MW08,15-Sep,0.44,,,,0.39,J,,,8.49,,,U,4.3,
MW08,16-Oct,,U,,,,U,,,5.54,,4.26,,3.9,
MW08,17-May,1.1,J,,,,U,,,8.92,,3.49,,4.2,
MW08,17-Sep,,U,,,,U,,,,U,,U,3.5,
MW08,18-May,0.52,,,,,U,,,7.97,,1.87,,3.8,
MW08,19-May,,U,,,,U,,,6.22,,2.52,,4,
MW08,19-Sep,,J,,,,U,,,672,,0.79,,5.2,
MW09,12-Sep,11.7,,,,13,,,,172,J,11,J,20.5,J
MW09,15-Sep,7.8,,,,,U,,,1020,,5.46,,,U
MW09,16-Oct,13,,,,14,,,,561,,37.8,,14,
MW09,17-May,8.8,,,,6.9,,,,172,,167,,6.4,
MW09,17-Sep,12,,,,11,,,,511,,56.9,,12,
MW09,18-May,2.1,,,,28,,,,31.9,,4.12,,6,
MW09,19-May,1.1,J,,,96,,,,18.3,,5.67,,21,
MW09,19-Sep,11,,,,5.1,,,,71.7,,6.26,,6.7,
MW10,11-Aug,6.49,,0.5,,96.9,,92.1,,532,,0.62,J,11.3,
MW10,12-May,1.23,,,,148,,,,32,,,UJ,9,
MW10,12-Sep,2.65,,,,110,,,,,UJ,,UJ,9.3,J
MW10,15-Jun,0.21,J,,,95,,,,7.95,,2.32,,,U
MW10,15-Sep,,U,,,100,J,,,,U,32.3,J,,U
MW10,16-Oct,,U,,,100,,,,21.6,,1.26,,9,
MW10,17-May,1.7,J,,,110,,,,133,,0.28,J,9.4,
MW10,17-Sep,,U,,,100,,,,,U,,U,9.4,
MW10,18-May,1.3,,,,110,,,,141,,,U,10,
MW10,19-May,970,J,,,570,,,,7.69,,1.99,,8.9,
MW10,19-Sep,0.91,J,,,100,,,,31.5,,3.22,,9.4,
MW12,11-Aug,0.505,J,0.522,J,13.5,,13.9,,54.1,,1.14,,0.28,J
MW12,12-May,0.56,,,,21,,,,8,,1,,0.6,
MW13,12-May,924,,1.6,,396,,2,U,51,,7,,2.5,
MW14,11-Aug,79.5,J,53.8,J,6650,,6660,,759,,141,,34.7,
MW14,12-May,103,,26,,7030,,6340,,,,,,189,
MW14,12-Sep,74.8,,,,9710,,,,,,254,J*,41,J
MW15,11-Aug,13100,,13100,,5620,,5590,,2910,,2200,,345,
MW15,12-May,6440,,,,4570,,,,,,,,81,
MW15,12-Sep,8430,,,,5370,,,,,,2000,J*,128,
MW16,11-Aug,678,,658,,1020,,1010,,1210,,285,,112,
MW16,12-May,2.2,,,,,U,,,1330,,77,,25.6,
MW16,12-Sep,757,,,,830,,,,,,285,J*,142,
MW16,15-Sep,570,,,,1700,,,,1540,,702,,,U
MW16,16-Oct,1100,,,,1500,,,,1390,,1230,,350,
MW16,17-May,420,,,,1400,,,,881,,896,,200,
MW16,17-Sep,2600,,,,2500,,,,315,,171,,360,
MW16,18-May,1700,,,,600,,,,410,,73,,83,
MW16,19-May,12,,,,4.5,,,,650,,252,,110,
MW16,19-Sep,440,,,,2000,,,,1170,,1060,,230,
MW17,11-Aug,53.9,,9.16,,28.5,,4.9,,6070,,9.49,,8.13,
MW17,12-May,10.7,,,,3,,,,35,,7,,5.3,
MW17,12-Sep,6.44,,,,3,,,,10,J,,U,5.5,
MW17,15-Sep,9.3,,,,,U,,,361,J,7.98,,,U
MW17,16-Sep,75,,,,21,,,,2590,,1100,,7.2,
MW17,17-May,12,,,,6.7,,,,161,,7.32,,8.7,
MW17,17-Sep,30,,,,14,,,,1340,,234,,6.5,
MW17,18-May,21,,,,4.9,,,,411,,19.5,,6.4,
MW17,19-May,0.73,,,,1,J,,,68.3,,16.7,,5.7,
MW17,19-Sep,12,,,,11,,,,203,,7.05,,9.2,
MW18,11-Aug,1.04,J,0.654,J,1.3,,0.7,,50.4,,2.7,,10.4,J
MW19,11-Aug,0.6,J,0.317,J,5.6,,2.9,,413,,0.54,J,6,
MW19,12-May,0.49,,,,,U,,,2,,1,,5.5,
MW19,15-Jun,0.21,J,,,0.55,J,,,,U,0.91,,5.6,
MW19,15-Sep,0.33,J,,,0.62,J,,,3.29,,,U,4.8,J+
MW19,16-Oct,,U,,,3,J,,,3.32,,,UJ,5.8,
MW19,17-May,,U,,,,U,,,12.3,,5.14,,4.5,
MW19,17-Sep,2,,,,,U,,,4.4,,,U,6.2,
MW19,18-May,0.62,,,,0.5,J,,,1.97,,,U,6.9,
MW19,19-May,1000,J,,,,U,,,4.35,,1.64,,5.9,
MW19,19-Sep,1.1,,,,5,,,,6.61,,1.33,,6.7,
MW20,11-Aug,566,J,616,J,161,,173,,1610,,277,,17.9,
MW20,12-May,985,,,,662,,,,0,,0,,9,
MW20,12-Sep,871,,,,221,,,,0,,850,J*,17.7,
MW21,11-Aug,5860,,5950,,1760,,1770,,141,,80.2,,25.7,
MW21,12-May,9100,,,,2540,,,,0,,0,,21,
MW21,12-Sep,9490,,,,2510,,,,0,,131,J*,25.3,
MW22,11-Aug,297,,294,,80.4,,77.3,,981,,527,,4.4,
MW22,15-Jun,340,,,,59,,,,246,,108,,5.3,
MW22,15-Sep,280,,,,61,,,,401,,323,,6.5,
MW22,16-Oct,400,,,,190,,,,200,,79.8,,5.6,
MW22,17-May,1000,,,,51,,,,423,,262,,12,
MW22,17-Sep,510,,,,130,,,,214,,103,,5.5,
MW22,18-May,1.1,,,,0.15,,,,279,,137,,7.3,J+
MW22,19-May,6.9,,,,42,,,,240,,143,,5.9,
MW22,19-Sep,220,,,,59,,,,303,,84.4,,8,
MW23,11-Aug,2.4,J,1.87,J,9.2,,8,,261,,2.39,,12.7,
MW24,11-Aug,101,J,79.9,J,7.4,,5.1,,56500,,6.11,,38.3,
MW24,12-May,99,,,,4,,,,10600,,8,,37.9,
MW24,12-Sep,108,,,,5,,,,35,J,,UJ,37.1,
